,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity,Cloud Coverage (%),Wind (MPH)
280,Iquique,CL,1666485599,-20.2208,-70.1431,60.84,67,4,1.77
281,Oxbow,CA,1666485600,49.2333,-102.1676,45.64,70,100,17.09
282,Talnakh,RU,1666485601,69.4865,88.3972,27.21,94,100,7.7
283,Ozuluama de Mascareñas,MX,1666485601,21.6667,-97.85,71.91,81,66,9.1
284,Nizhnevartovsk,RU,1666485305,60.9344,76.5531,30.22,100,40,4.47
285,Ürümqi,CN,1666485504,43.801,87.6005,41.95,70,0,2.24
286,Katsuura,JP,1666485603,35.1333,140.3,73.33,67,13,15.01
287,Atambua,ID,1666485603,-9.1061,124.8925,85.24,59,19,3.83
288,Ixtapa,MX,1666485604,20.7,-105.2,79.83,89,100,0.0
289,Imeni Poliny Osipenko,RU,1666485605,52.4201,136.4853,35.92,43,10,2.77
290,Colares,PT,1666485605,38.7992,-9.4469,64.76,88,100,21.0
291,Margate,GB,1666485605,51.3813,1.3862,60.91,91,100,1.99
292,Magnitogorsk,RU,1666485606,53.4186,59.0472,26.78,63,40,2.24
293,Geraldton,AU,1666485606,-28.7667,114.6,67.96,63,97,5.37
294,Salalah,OM,1666485607,17.0151,54.0924,77.09,69,75,3.44
295,Shizunai-furukawachō,JP,1666485607,42.3339,142.3669,54.43,69,79,13.02
296,Homer,US,1666485318,59.6425,-151.5483,42.69,70,0,6.91
297,Bathurst,AU,1666485608,-33.4166,149.5806,68.97,77,100,3.38
298,Vostok,RU,1666485609,46.4856,135.8833,32.81,62,76,4.61
299,Northfield,US,1666485609,44.4583,-93.1616,72.91,42,0,5.75
300,Kīhei,US,1666485342,20.785,-156.4656,93.22,55,40,19.57
301,Taoudenni,ML,1666485610,22.6783,-3.9836,82.11,15,20,9.24
302,Carbonia,IT,1666485610,39.1672,8.5222,70.45,66,86,6.33
303,Kavaratti,IN,1666485611,10.5669,72.642,81.63,74,79,5.5
304,Kochubey,RU,1666485612,44.3861,46.5825,44.4,63,98,4.29
305,Ancud,CL,1666485314,-41.8697,-73.8203,44.26,79,100,7.47
306,Chichihualco,MX,1666485613,17.6833,-99.65,65.95,95,95,4.99
307,Yulara,AU,1666485613,-25.2406,130.9889,77.34,40,0,15.73
308,Codrington,AU,1666485315,-38.2667,141.9667,55.53,80,100,17.31
309,Airai,TL,1666485615,-8.9266,125.4092,75.33,53,8,1.16
310,Batagay,RU,1666485615,67.6333,134.6333,5.58,91,96,3.96
311,Novhorodka,UA,1666485616,48.3651,32.6578,51.17,87,100,13.44
312,Santa Cruz do Sul,BR,1666485617,-29.7175,-52.4258,60.26,87,0,2.8
313,Digras,IN,1666485617,20.1167,77.7167,64.51,77,0,4.41
314,Bethel,US,1666485618,41.3712,-73.414,55.65,79,0,0.0
315,Hambantota,LK,1666485618,6.1241,81.1185,75.54,100,75,1.14
316,Manhattan,US,1666485319,40.7834,-73.9662,60.66,67,0,7.0
317,Khromtau,KZ,1666485619,50.2503,58.4347,27.54,70,9,7.09
318,Daru,PG,1666485620,-9.0763,143.2092,86.2,65,11,4.36
319,Slonim,BY,1666485620,53.0867,25.3219,46.69,95,100,4.72
320,Broken Hill,AU,1666485321,-31.95,141.4333,61.45,88,100,6.89
321,Beloha,MG,1666485322,-25.1667,45.05,67.6,89,0,3.53
322,Lotofaga,WS,1666485622,-13.9764,-171.8578,89.38,73,100,11.03
323,Manaquiri,BR,1666485323,-3.3167,-60.35,79.25,84,100,2.3
324,San Andrés,CO,1666485323,12.5847,-81.7006,84.22,79,20,8.05
325,Flinders,AU,1666485623,-34.5833,150.8552,65.48,92,100,10.16
326,San Felipe,VE,1666485324,10.3399,-68.7425,71.94,98,33,1.52
327,Russell,US,1666485624,32.3502,-85.1999,64.0,82,0,0.0
328,Shingū,JP,1666485625,33.7333,135.9833,75.42,56,4,3.58
329,Talas,TR,1666485625,38.6908,35.5538,30.87,93,0,0.0
330,Hong Kong,HK,1666485577,22.2855,114.1577,83.17,80,88,1.01
331,Sangar,RU,1666485626,63.9242,127.4739,15.8,92,100,0.47
332,Acajutla,SV,1666485627,13.5928,-89.8275,79.45,80,14,2.06
333,Derzhavīnsk,KZ,1666485627,51.1,66.3167,29.23,81,44,14.65
334,Sinnamary,GF,1666485628,5.3833,-52.95,79.47,87,81,10.65
335,Hammerfest,NO,1666485628,70.6634,23.6821,39.65,81,75,17.27
336,Kidal,ML,1666485628,18.4411,1.4078,75.6,20,99,15.37
337,Buta,CD,1666485629,2.7858,24.73,70.72,97,100,0.81
338,Dimitrovgrad,RU,1666485496,54.2139,49.6184,33.85,74,91,5.1
339,Marabu,MY,1666485629,4.4148,114.0089,78.94,94,40,4.61
340,Vao,NC,1666485330,-22.6667,167.4833,72.55,78,100,28.27
341,Lagoa,PT,1666485630,39.05,-27.9833,65.19,70,100,17.54
342,Serenje,ZM,1666485631,-13.2325,30.2352,63.1,48,98,4.16
343,Hualmay,PE,1666485631,-11.0964,-77.6139,61.59,83,70,10.16
344,Tortolì,IT,1666485632,39.9256,9.6572,66.02,82,0,12.66
345,Longyearbyen,SJ,1666485632,78.2186,15.6401,17.44,67,40,3.44
346,Saravan,AM,1666485633,39.7196,45.6483,44.4,89,97,0.27
347,Namtsy,RU,1666485633,62.7161,129.6658,18.23,93,100,1.5
348,Nioro,GM,1666485633,13.35,-15.75,75.24,91,0,5.08
349,Enshi,CN,1666485550,30.3,109.4833,63.9,79,100,1.59
350,Taseyevo,RU,1666485634,57.2169,94.8978,48.94,78,100,8.84
351,Porto Torres,IT,1666485634,40.835,8.3972,64.58,55,21,5.77
352,Malakal,SS,1666485635,9.5334,31.6605,72.01,90,77,3.22
353,Kavieng,PG,1666485635,-2.5744,150.7967,84.38,62,76,4.83
354,Qinhuangdao,CN,1666485636,39.9317,119.5883,57.79,37,0,8.14
355,Ola,RU,1666485636,59.5833,151.2833,16.14,58,100,9.64
356,Kokopo,PG,1666485637,-4.352,152.2633,82.85,70,100,5.39
357,Doumé,CM,1666485637,4.2333,13.45,67.68,99,100,1.74
358,Saldanha,ZA,1666485638,-33.0117,17.9442,59.05,86,100,12.26
359,Poção de Pedras,BR,1666485559,-4.6667,-44.85,77.02,82,8,6.22
360,Tacna,PE,1666485638,-18.0056,-70.2483,55.6,77,0,3.44
361,Hay River,CA,1666485639,60.8156,-115.7999,30.18,59,75,4.61
362,Anadyr,RU,1666485639,64.75,177.4833,25.3,85,75,8.95
363,Khalabat,PK,1666485640,34.06,72.8894,62.26,41,0,6.13
364,Baturaja,ID,1666485640,-4.1333,104.1667,79.07,88,75,1.03
365,Nyurba,RU,1666485640,63.2842,118.3319,25.29,93,99,5.35
366,Nagato,JP,1666485626,34.3833,131.2,68.77,58,1,10.49
367,Waverly,US,1666485549,42.7392,-84.6208,66.13,62,0,9.22
368,Coyhaique,CL,1666485641,-45.5752,-72.0662,52.41,46,48,2.3
369,Wuwei,CN,1666485641,37.9281,102.6414,50.22,36,98,2.73
370,Lafia,NG,1666485642,8.4833,8.5167,75.56,74,100,2.77
371,Chapleau,CA,1666485642,47.8405,-83.4034,41.09,100,100,0.0
372,Bandarbeyla,SO,1666485642,9.4942,50.8122,77.11,85,23,0.87
373,Bilibino,RU,1666485643,68.0546,166.4372,9.72,93,100,2.59
374,Santa Barbara,US,1666485643,34.7333,-120.0343,62.82,78,40,11.5
375,Bereda,ES,1666485644,43.2686,-7.5406,58.41,89,10,12.44
376,Broome,US,1666485644,42.2506,-75.833,53.6,73,2,1.99
377,Port Lincoln,AU,1666485645,-34.7333,135.8667,59.59,83,100,20.18
378,Bridgetown,BB,1666485645,13.1,-59.6167,81.09,83,20,10.36
379,Concordia,AR,1666485646,-31.393,-58.0209,57.78,85,0,10.0
380,Bariloche,AR,1666485628,-41.1456,-71.3082,55.15,41,75,8.05
381,São Borja,BR,1666485646,-28.6606,-56.0044,63.95,78,0,6.11
382,Okhotsk,RU,1666485647,59.3833,143.3,22.32,51,80,15.23
383,Curuçá,BR,1666485647,-0.7289,-47.8481,75.83,89,7,4.97
384,Sola,VU,1666485647,-13.8833,167.55,74.07,94,100,0.0
385,Itoman,JP,1666485648,26.1247,127.6694,79.57,96,75,18.41
386,Rawson,AR,1666485648,-43.3002,-65.1023,67.37,22,77,33.17
387,Xambioá,BR,1666485648,-6.4111,-48.5364,77.34,82,91,5.3
388,Faanui,PF,1666485650,-16.4833,-151.75,79.48,74,19,11.39
389,Halifax,CA,1666485604,44.6453,-63.5724,56.21,94,81,4.61
390,Haines Junction,CA,1666485650,60.7522,-137.5108,37.35,70,100,1.14
391,Vilyuysk,RU,1666485651,63.7553,121.6247,20.46,93,95,3.76
392,Takhli,TH,1666485651,15.2634,100.3438,75.6,81,26,9.33
393,Buala,SB,1666485652,-8.145,159.5921,83.79,74,100,9.55
394,Ağdam,AZ,1666485652,39.991,46.9274,50.31,87,100,0.76
395,Laredo,US,1666485618,27.5064,-99.5075,84.49,42,0,8.05
396,Manggar,ID,1666485653,-2.8833,108.2667,81.86,77,100,3.62
397,Tuscaloosa,US,1666485135,33.2098,-87.5692,69.58,73,0,0.0
398,Eureka,US,1666485654,40.8021,-124.1637,60.19,84,10,8.99
399,Tignère,CM,1666485654,7.3667,12.65,64.56,91,100,1.01
400,Kyra,RU,1666485654,49.5776,111.9753,30.83,66,8,2.95
401,Chadiza,ZM,1666485655,-14.0678,32.4392,67.28,42,16,4.07
402,Sennoy,RU,1666485655,52.1509,46.9631,40.35,72,100,4.03
403,Tambopata,PE,1666485655,-12.7333,-69.1833,71.49,94,0,0.0
404,Agüimes,ES,1666485656,27.9054,-15.4461,68.63,83,20,13.8
405,Iqaluit,CA,1666485656,63.7506,-68.5145,31.73,100,75,6.91
406,Qurayyat,SA,1666485656,31.3318,37.3428,60.98,72,0,12.66
407,Minden,DE,1666485657,52.2833,8.9167,55.62,86,75,6.91
408,Goundam,ML,1666485657,16.4145,-3.6708,84.4,17,100,8.1
409,Avera,US,1666485658,33.194,-82.5271,53.55,42,0,4.81
410,Barranca,PE,1666485658,-10.75,-77.7667,60.66,85,91,8.66
411,Srīvardhan,IN,1666485659,18.0333,73.0167,73.69,72,5,6.6
412,Santa Lucía,ES,1666485411,27.9117,-15.5407,63.72,83,20,13.8
413,Praia,CV,1666485419,14.9215,-23.5087,77.45,81,19,11.07
414,Yerbogachën,RU,1666485660,61.2767,108.0108,32.0,88,100,11.99
415,Portland,US,1666485426,45.5234,-122.6762,57.99,65,20,12.66
416,Havelock,US,1666485612,34.8791,-76.9013,64.94,75,75,9.22
417,Shebekino,RU,1666485660,50.4097,36.9136,45.82,82,99,10.18
418,Los Llanos de Aridane,ES,1666485661,28.6585,-17.9182,67.75,91,20,3.44
419,Port-Gentil,GA,1666485661,-0.7193,8.7815,78.51,85,100,8.57
420,Poya,NC,1666485661,-21.35,165.15,73.96,84,100,6.4
421,Robertson,US,1666485396,36.5167,-86.8667,69.78,63,75,3.44
422,Makakilo City,US,1666485662,21.3469,-158.0858,88.12,56,75,16.11
423,Laramie,US,1666485599,41.3114,-105.5911,57.58,18,0,25.32
424,Mēga,ET,1666485663,4.05,38.3,62.69,70,100,7.16
425,Pedernales,DO,1666485663,18.0384,-71.744,81.28,69,0,4.52
426,Sobolevo,RU,1666485664,54.4299,31.8996,41.58,92,100,6.33
427,Ballina,AU,1666485664,-28.8667,153.5667,68.04,99,100,20.13
428,Pimentel,PE,1666485665,-6.8367,-79.9342,61.81,85,100,14.34
429,São João da Barra,BR,1666485666,-21.6403,-41.0511,75.29,91,100,8.93
430,Cam Ranh,VN,1666485406,11.9214,109.1591,80.56,78,20,2.3
431,Sabha,LY,1666485666,27.0377,14.4283,63.93,47,0,10.36
432,Galesong,ID,1666485667,-5.3166,119.3661,82.42,72,13,2.55
433,Gien,FR,1666485667,47.6933,2.6309,59.5,79,100,11.88
434,Sadove,UA,1666485668,46.2487,30.1795,58.24,81,100,15.7
435,Ust'-Kut,RU,1666485668,56.7938,105.7672,34.12,91,100,4.63
436,Moundou,TD,1666485669,8.5667,16.0833,71.24,88,86,3.18
437,Vardø,NO,1666485669,70.3705,31.1107,30.18,80,63,17.27
438,Chunskiy,RU,1666485670,56.0815,99.6342,36.7,86,100,4.68
439,Verkh-Usugli,RU,1666485670,52.7,115.1667,28.51,53,0,1.59
440,Karratha,AU,1666485671,-20.7377,116.8463,81.9,36,4,13.71
441,Egvekinot,RU,1666485671,66.3167,-179.1667,22.55,97,95,0.58
442,Ōdachō-ōda,JP,1666485379,35.1833,132.5,61.57,56,16,1.59
443,Beringovskiy,RU,1666485672,63.05,179.3167,28.09,78,96,3.91
444,Santa Rosa,PH,1666485559,14.3122,121.1114,86.09,76,24,6.44
445,Lüderitz,NA,1666485672,-26.6481,15.1594,58.89,80,24,14.61
446,Ust'-Omchug,RU,1666485673,61.15,149.6333,4.1,91,92,3.69
447,Grindavik,IS,1666485674,63.8424,-22.4338,41.47,100,100,5.75
448,Ōmagari,JP,1666485674,39.45,140.4833,57.96,73,100,3.58
449,San Juan,AR,1666485400,-31.5375,-68.5364,63.21,42,0,5.79
450,Hīt,IQ,1666485675,33.6416,42.8251,70.74,55,62,9.95
451,Jönköping,SE,1666485676,57.7814,14.1562,51.39,100,100,3.44
452,Nzérékoré,GN,1666485676,7.7562,-8.8179,69.19,96,100,1.21
453,Buraidah,SA,1666485677,26.326,43.975,72.05,19,0,10.45
454,Bengkulu,ID,1666485677,-3.8004,102.2655,79.18,73,100,2.24
455,Alakurtti,RU,1666485678,66.9672,30.3491,30.99,75,14,12.46
456,Jalu,LY,1666485678,29.0331,21.5482,64.35,53,0,8.55
457,Laguna,US,1666485679,38.421,-121.4238,73.36,19,0,16.11
458,Rūdbār,AF,1666485679,30.15,62.6,66.18,16,0,5.57
459,Tigil',RU,1666485679,57.8,158.6667,29.68,74,49,5.21
460,Natal,BR,1666485630,-5.795,-35.2094,77.22,78,40,11.5
461,Sivakasi,IN,1666485680,9.45,77.8167,78.04,81,89,1.03
462,New Ulm,US,1666485530,44.3125,-94.4605,71.98,42,0,9.22
463,Masuri,KR,1666485681,35.8488,128.1492,58.55,50,0,5.95
464,Luau,AO,1666485682,-10.7073,22.2247,65.77,89,100,2.33
465,Fort Nelson,CA,1666485682,58.8053,-122.7002,29.79,74,75,5.75
466,Camacha,PT,1666485683,33.0833,-16.3333,63.82,82,20,8.05
467,Ruidoso,US,1666485684,33.3317,-105.673,63.97,63,26,10.36
468,Tura,IN,1666485684,25.5198,90.2201,71.19,68,100,4.7
469,Kimovsk,RU,1666485684,53.9716,38.5319,35.47,92,11,7.16
470,Richards Bay,ZA,1666485685,-28.783,32.0377,66.47,85,100,8.79
471,Wanaka,NZ,1666485685,-44.7,169.15,60.78,53,17,11.12
472,North Bend,US,1666485686,43.4065,-124.2243,54.91,91,75,4.61
473,Maţāy,EG,1666485686,28.419,30.7792,67.08,67,0,7.43
474,Níjar,ES,1666485687,36.9665,-2.206,67.64,56,0,8.05
475,Novaya Ladoga,RU,1666485687,60.1025,32.3019,38.93,87,21,10.04
476,Vanimo,PG,1666485688,-2.6741,141.3028,85.1,68,100,3.44
477,Norrköping,SE,1666485688,58.5942,16.1826,46.98,92,100,6.91
478,Turan,VN,1666485688,16.0678,108.2208,76.98,83,75,0.0
479,Ust-Tsilma,RU,1666485689,65.441,52.1498,31.46,77,100,10.11
480,Kruisfontein,ZA,1666485689,-34.0033,24.7314,59.88,96,6,2.48
481,Umluj,SA,1666485690,25.0213,37.2685,80.15,64,0,12.44
482,Sayansk,RU,1666485690,54.1088,102.1648,35.67,72,24,10.36
483,Kropotkin,RU,1666485690,45.4375,40.5756,45.64,67,84,4.97
484,Marawi,PH,1666485691,7.9986,124.2928,74.91,84,100,2.01
485,Galle,LK,1666485691,6.0367,80.217,77.85,87,100,8.61
486,Nouadhibou,MR,1666485692,20.931,-17.0347,71.58,83,40,23.02
487,Sinegor'ye,RU,1666485692,62.0788,150.477,5.09,95,95,1.72
488,Chino Valley,US,1666485692,34.7575,-112.4538,66.42,57,0,13.8
489,Atlantic City,US,1666485693,39.3643,-74.4229,61.0,83,0,3.0
490,Trelew,AR,1666485693,-43.249,-65.3051,69.24,17,58,31.61
491,Denpasar,ID,1666485527,-8.65,115.2167,82.06,88,20,4.61
492,Hondomachi-hondo,JP,1666485694,32.45,130.2,70.95,68,0,5.44
493,Arlit,NE,1666485694,18.7369,7.3853,75.36,22,0,8.28
494,Chauk,MM,1666485695,20.8833,94.8167,78.35,77,67,6.31
495,Merta,IN,1666485695,26.65,74.0333,70.45,36,0,5.82
496,Adrar,MR,1666485695,20.5022,-10.0711,80.83,16,0,8.01
497,Lingyuan,CN,1666485696,41.24,119.4011,50.52,33,0,5.91
498,Celestún,MX,1666485696,20.8667,-90.4,74.98,64,0,14.74
499,Whitianga,NZ,1666485696,-36.8333,175.7,64.65,50,0,7.2
500,Matara,LK,1666485697,5.9485,80.5353,76.53,89,100,8.03
501,Dodge City,US,1666485698,37.7528,-100.0171,73.26,17,0,8.05
502,Fort Walton Beach,US,1666485698,30.4058,-86.6188,66.97,64,0,1.99
503,Kudahuvadhoo,MV,1666485699,2.6708,72.8944,81.3,72,75,15.7
504,La Santisima Trinidad,BO,1666485699,-14.8333,-64.9,71.04,99,100,2.13
505,Trincomalee,LK,1666485700,8.5711,81.2335,77.63,87,100,11.99
506,Dhrāngadhra,IN,1666485701,22.9833,71.4667,74.5,39,0,6.87
507,Lakhdenpokh'ya,RU,1666485702,61.5198,30.1992,40.14,91,100,10.13
508,Jieshi,CN,1666485702,22.8134,115.8257,76.42,78,96,15.52
509,Janakpur Dham,NP,1666485703,26.7183,85.9065,67.14,60,3,6.96
510,Cap Malheureux,MU,1666485703,-19.9842,57.6142,69.48,77,0,3.0
511,Sibay,RU,1666485704,52.7181,58.6658,23.13,86,22,4.83
512,Bima,ID,1666485704,-8.4667,118.7167,89.19,59,60,1.01
513,Tabou,CI,1666485704,4.423,-7.3528,76.51,89,53,7.92
514,Yeniseysk,RU,1666485705,58.4497,92.1703,46.33,92,100,9.66
515,Lincoln,US,1666485473,40.8,-96.667,72.14,54,0,8.05
516,Noumea,NC,1666485659,-22.2763,166.4572,80.58,74,100,16.37
517,Romanovo,RU,1666485705,52.6182,81.2271,49.87,52,19,25.08
518,Merauke,ID,1666485706,-8.4667,140.3333,85.87,68,18,4.16
519,Chenzhou,CN,1666485706,25.8,113.0333,72.48,34,12,5.14
520,Santiago de Cuba,CU,1666485493,20.0247,-75.8219,77.11,78,75,10.36
521,Sémbé,CG,1666485706,1.6481,14.5806,69.89,99,100,0.43
522,Roseburg,US,1666485409,43.2165,-123.3417,51.51,88,100,6.91
523,Mahibadhoo,MV,1666485707,3.7833,72.9667,81.55,77,100,16.53
524,Lensk,RU,1666485707,60.7253,114.9278,30.9,92,100,5.66
525,Saint-Pierre,RE,1666485708,-21.3393,55.4781,71.91,68,0,4.61
526,Killybegs,IE,1666485708,54.6333,-8.45,53.28,95,96,6.02
527,Pochutla,MX,1666485709,15.7432,-96.4661,82.22,91,25,3.42
528,Kyabram,AU,1666485709,-36.3167,145.05,68.88,75,87,8.08
529,Faya,SA,1666485709,18.3851,42.4509,55.51,25,10,5.14
530,Kenai,US,1666485710,60.5544,-151.2583,38.14,86,20,14.97
531,Cabras,IT,1666485710,39.93,8.5314,69.64,54,100,9.22
532,Coruripe,BR,1666485711,-10.1256,-36.1756,75.97,83,26,11.99
533,Morondava,MG,1666485711,-20.2833,44.2833,75.9,80,3,8.01
534,Maragogi,BR,1666485712,-9.0122,-35.2225,75.76,86,28,8.08
535,Khorixas,NA,1666485712,-20.3667,14.9667,71.53,27,6,2.86
536,Nelson Bay,AU,1666485713,-32.7167,152.15,74.08,88,100,13.0
537,Zavodouspenskoye,RU,1666485713,56.8626,65.0155,32.49,80,13,10.22
538,Joshīmath,IN,1666485713,30.5667,79.5667,50.54,38,0,7.05
539,Pangoa,PE,1666485714,-12.1167,-73.0,68.47,99,100,2.21
540,Daud Khel,PK,1666485715,32.875,71.5701,69.94,29,0,1.41
541,Mehamn,NO,1666485715,71.0357,27.8492,35.55,87,100,10.36
542,Idrinskoye,RU,1666485715,54.3708,92.1358,41.74,82,100,3.96
543,Sagone,FR,1666485716,42.1155,8.6969,66.16,47,86,8.25
544,Tual,ID,1666485716,-5.6667,132.75,83.25,76,100,5.39
545,Petropavlovsk-Kamchatskiy,RU,1666485716,53.0452,158.6483,37.99,48,0,4.47
546,Ansalta,RU,1666485717,42.6894,46.1178,38.3,73,1,3.89
547,Rosbach,DE,1666485717,50.8,7.6167,58.24,95,100,3.53
548,Arrondissement du Havre,FR,1666485718,49.5833,0.3333,61.2,82,0,11.5
549,Kaka,TM,1666485718,37.3482,59.6143,55.83,61,90,3.53
550,Loíza,PR,1666485718,18.4313,-65.8802,80.6,86,20,6.91
551,Neiafu,TO,1666485719,-18.65,-173.9833,81.28,83,75,6.91
552,Linares,CL,1666485719,-35.85,-71.6,53.53,63,100,3.65
553,Vilcún,CL,1666485720,-38.65,-72.2333,48.94,88,77,2.68
554,Santa Cruz de Tenerife,ES,1666485679,28.4682,-16.2546,71.87,90,75,14.97
555,Shamary,RU,1666485720,57.3434,58.2199,26.33,86,99,8.25
556,Ayan,RU,1666485721,56.45,138.1667,34.92,51,50,7.14
557,Kāranja,IN,1666485721,20.4833,77.4833,64.02,72,2,3.51
558,Bose,IT,1666485722,45.4612,8.0137,60.76,89,97,2.98
559,Bara,NG,1666485723,10.3744,10.7288,75.78,35,100,5.37
560,Skalat,UA,1666485723,49.4273,25.9787,49.8,95,100,9.71
561,Takoradze,GH,1666485724,4.8845,-1.7554,77.14,87,100,4.5
562,Ninohe,JP,1666485724,40.2724,141.3061,58.73,62,36,7.9
563,Veinticinco de Mayo,AR,1666485725,-35.4323,-60.1727,48.97,82,0,5.77
